,name,review_score,reviewers,final_price,discount,ori_price,release_date,id,link
260,Grand Theft Auto: San Andreas – The Definitive Edition,69,"1,951",5649.5,50,"11.299,00",2023 年 1 月 20 日,1547000,https://store.steampowered.com/app/1547000/Grand_Theft_Auto_San_Andreas__The_Definitive_Edition/?snr=1_7_7_2300_150_11
261,Contraband Police,94,"6,372",1560.0,20,"1.950,00",2023 年 3 月 8 日,756800,https://store.steampowered.com/app/756800/Contraband_Police/?snr=1_7_7_2300_150_11
262,OMORI,97,"51,862",168.74,25,"224,99",2020 年 12 月 25 日,1150690,https://store.steampowered.com/app/1150690/OMORI/?snr=1_7_7_2300_150_11
263,狙击手：幽灵战士契约 2,84,"6,935",624.75,75,"2.499,00",2021 年 6 月 5 日,1338770,https://store.steampowered.com/app/1338770/_2/?snr=1_7_7_2300_150_11
264,Left 4 Dead,96,"40,415",76.5,90,"765,00",2008 年 11 月 18 日,500,https://store.steampowered.com/app/500/Left_4_Dead/?snr=1_7_7_2300_150_11
265,勇者斗恶龙XI S 寻觅逝去的时光 - Definitive Edition,93,"6,083",1299.35,35,"1.999,00",2020 年 12 月 5 日,1295510,https://store.steampowered.com/app/1295510/XI_S___Definitive_Edition/?snr=1_7_7_2300_150_11
266,Far Cry® 4,83,"43,076",599.8,80,"2.999,00",2014 年 11 月,298110,https://store.steampowered.com/app/298110/Far_Cry_4/?snr=1_7_7_2300_150_11
267,Thief Simulator,87,"21,716",210.0,85,"1.400,00",2018 年 11 月 10 日,704850,https://store.steampowered.com/app/704850/Thief_Simulator/?snr=1_7_7_2300_150_11
268,Core Keeper,91,"20,305",880.0,20,"1.100,00",2022 年 3 月 8 日,1621690,https://store.steampowered.com/app/1621690/Core_Keeper/?snr=1_7_7_2300_150_11
269,Barotrauma 潜渊症,93,"34,178",1950.0,25,"2.600,00",2023 年 3 月 14 日,602960,https://store.steampowered.com/app/602960/Barotrauma/?snr=1_7_7_2300_150_11
270,Generation Zero®,74,"21,863",55.99,80,"279,99",2019 年 3 月 26 日,704270,https://store.steampowered.com/app/704270/Generation_Zero/?snr=1_7_7_2300_150_11
271,Ori and the Blind Forest,95,"43,039",0.0,,,2015 年 3 月 11 日,261570,https://store.steampowered.com/app/261570/Ori_and_the_Blind_Forest/?snr=1_7_7_2300_150_11
272,Shadow of the Tomb Raider: Definitive Edition,85,"51,891",0.0,,,2018 年 9 月 15 日,750920,https://store.steampowered.com/app/750920/Shadow_of_the_Tomb_Raider_Definitive_Edition/?snr=1_7_7_2300_150_11
273,伊克西翁IXION,73,"9,511",1560.0,35,"2.400,00",2022 年 12 月 8 日,1113120,https://store.steampowered.com/app/1113120/IXION/?snr=1_7_7_2300_150_11
274,Police Simulator: Patrol Officers,84,"10,324",1575.0,25,"2.100,00",2022 年 11 月 10 日,997010,https://store.steampowered.com/app/997010/Police_Simulator_Patrol_Officers/?snr=1_7_7_2300_150_11
275,Warhammer: Vermintide 2,84,"73,335",199.8,80,"999,00",2018 年 3 月 9 日,552500,https://store.steampowered.com/app/552500/Warhammer_Vermintide_2/?snr=1_7_7_2300_150_12
276,Craftopia / 创世理想乡,80,"15,144",167.99,40,"279,99",2020 年 9 月 4 日,1307550,https://store.steampowered.com/app/1307550/Craftopia/?snr=1_7_7_2300_150_12
277,Cassette Beasts 磁带妖怪,96,"2,696",1120.0,20,"1.400,00",2023 年 4 月 26 日,1321440,https://store.steampowered.com/app/1321440/Cassette_Beasts/?snr=1_7_7_2300_150_12
278,Slime Rancher 2,95,"18,712",1596.0,25,"2.128,00",2022 年 9 月 23 日,1657630,https://store.steampowered.com/app/1657630/Slime_Rancher_2/?snr=1_7_7_2300_150_12
279,"Warhammer 40,000: Gladius - Relics of War",81,"5,804",43.99,90,"439,99",2018 年 7 月 12 日,489630,https://store.steampowered.com/app/489630/Warhammer_40000_Gladius__Relics_of_War/?snr=1_7_7_2300_150_12
